EX1G,EX2G,A1G,A2G,C1G,C2G,ES1G,ES2G,O1G,O2G,EX1,EX2,A1,A2,C1,C2,ES1,ES2,O1,O2,H/D
4,3,3,5,2,5,4,5,3,5,0.70,2.23,1.91,3.82,0.61,1.00,1.31,4.62,1.74,2.37,H
3,2,1,4,2,4,3,4,3,3,2.65,0.71,1.39,0.97,1.21,1.21,2.58,1.68,2.32,3.32,H
4,3,3,4,3,4,3,4,3,4,1.74,3.71,3.19,1.62,3.31,2.02,3.23,2.80,2.90,2.61,H
3,2,4,3,3,4,2,2,2,3,2.65,1.42,1.08,2.89,2.65,0.81,1.97,2.46,3.18,3.32,H
3,2,3,3,5,5,4,4,3,2,2.65,0.71,2.55,2.89,1.61,0.50,1.31,1.12,2.32,1.26,H
4,1,3,1,5,5,4,4,4,4,1.74,1.48,0.64,2.61,1.61,0.50,3.27,2.80,2.39,2.61,H
4,2,4,3,4,5,3,4,3,3,1.39,0.36,2.16,2.89,2.09,0.25,2.58,2.24,2.32,3.32,H
4,2,2,4,2,5,2,2,4,2,1.04,2.14,2.53,0.97,3.64,0.25,2.96,3.69,1.43,3.78,H
5,1,2,4,4,5,4,4,5,5,2.89,0.74,0.42,1.30,2.09,1.00,2.61,2.24,2.52,2.37,H
2,2,5,4,4,5,2,4,2,2,4.40,1.78,2.42,0.97,1.57,0.50,2.47,1.68,3.97,3.15,H
4,2,2,2,5,5,4,2,4,5,1.04,1.42,1.69,3.01,2.42,0.75,1.96,2.46,1.43,1.78,H
4,3,3,3,4,5,2,2,4,4,1.39,2.23,1.91,2.17,2.09,0.25,0.99,1.23,1.91,2.09,H
3,2,3,4,4,4,5,4,4,4,1.32,0.36,1.27,1.95,3.13,2.42,1.13,3.36,2.86,3.13,H
5,4,2,4,2,5,3,4,5,3,2.17,2.45,0.84,0.97,1.21,0.75,1.29,1.68,1.89,1.66,H
4,2,2,4,2,4,5,5,2,2,1.04,1.78,2.11,0.97,3.04,1.21,2.26,2.31,3.97,3.15,H
3,2,4,4,4,4,4,4,4,2,0.66,0.71,3.78,2.27,3.66,2.82,4.57,3.92,3.34,1.26,H
2,2,2,2,2,4,2,2,2,2,7.92,3.21,3.80,6.77,5.47,0.40,4.44,5.53,7.15,5.67,H
3,2,5,2,4,5,4,4,3,2,1.32,1.07,2.42,2.26,1.57,0.50,1.96,1.68,1.16,1.89,H
2,1,2,4,2,4,2,1,2,2,5.28,1.48,2.53,0.65,3.64,0.81,2.96,1.79,4.77,3.78,H
2,1,2,4,2,4,2,1,2,2,5.28,1.48,2.53,0.65,3.64,0.81,2.96,1.79,4.77,3.78,H
2,2,2,2,2,4,2,2,2,2,7.92,3.21,3.80,6.77,5.47,0.40,4.44,5.53,7.15,5.67,H
3,2,2,2,2,5,2,5,4,2,0.66,2.14,2.53,4.51,3.64,0.50,2.96,2.31,0.48,3.78,H
3,2,2,2,2,5,2,5,4,2,0.66,2.14,2.53,4.51,3.64,0.50,2.96,2.31,0.48,3.78,H
3,2,5,2,4,5,4,4,3,2,1.32,1.07,2.42,2.26,1.57,0.50,1.96,1.68,1.16,1.89,H
4,2,3,4,3,5,3,3,5,3,0.70,0.36,3.19,0.65,3.31,0.50,3.23,2.73,1.26,4.15,H
3,2,4,2,5,5,3,3,4,1,1.98,0.71,1.08,1.50,1.61,0.50,1.94,1.64,0.95,1.21,H
5,3,2,4,4,5,3,4,4,2,1.45,1.48,0.84,1.30,2.09,0.50,1.29,2.24,1.91,1.26,H
4,2,4,3,4,4,4,4,4,4,2.79,0.36,4.32,0.72,4.18,3.23,5.23,4.48,3.82,4.18,H
5,4,2,1,3,4,1,1,4,5,1.45,2.45,0.42,3.92,0.66,1.21,2.42,2.68,1.43,1.19,H
4,2,2,4,2,4,5,5,3,2,1.04,1.42,1.69,0.97,2.43,1.21,2.26,2.31,0.58,2.52,H
4,3,4,3,3,5,3,3,4,3,1.04,4.45,1.62,4.34,3.97,0.25,3.87,3.28,1.43,4.98,H
4,3,3,3,3,3,3,3,3,3,0.35,6.68,5.74,6.51,5.95,18.76,5.81,4.92,5.21,7.46,H
5,4,2,3,4,5,1,3,3,2,1.45,1.63,0.84,2.17,1.04,0.50,0.81,1.64,1.74,1.26,H
5,5,5,3,5,5,5,5,2,5,5.78,10.75,9.68,0.72,6.45,1.99,9.04,9.24,0.79,4.75,H
4,3,2,5,3,4,2,3,4,2,1.04,2.23,1.27,0.95,1.98,1.21,1.48,1.64,1.43,1.89,H
4,3,3,4,3,5,4,3,3,5,1.04,3.71,3.19,0.97,3.31,0.50,1.96,2.73,2.90,1.19,H
