EX1G,EX2G,A1G,A2G,C1G,C2G,ES1G,ES2G,O1G,O2G,EX1,EX2,A1,A2,C1,C2,ES1,ES2,O1,O2,H/D
5,2,2,5,1,4,3,3,2,2,1.33,1.33,1.97,1.86,1.08,0.41,1.33,1.33,3.48,2.49,H
3,1,1,4,5,5,2,5,2,1,0.71,2.25,3.65,0.30,2.25,0.73,0.97,3.00,1.74,3.65,H
5,2,3,3,1,5,3,3,5,3,1.99,0.33,2.81,3.27,1.08,0.73,3.31,3.31,2.04,3.91,H
3,4,2,4,2,5,3,4,2,4,1.42,3.60,1.48,1.19,1.69,0.24,1.33,2.14,2.61,2.17,H
4,3,1,4,3,4,2,4,5,3,1.31,2.15,1.22,1.19,2.28,1.65,0.49,2.14,0.68,2.35,H
3,4,3,4,5,5,4,4,5,2,1.42,3.60,1.12,1.19,2.25,0.73,2.36,2.14,2.04,0.62,H
4,2,4,3,2,5,3,2,4,5,0.98,1.00,1.86,1.31,1.69,0.49,1.33,1.61,1.30,1.21,H
2,2,1,4,4,5,4,2,4,2,3.93,1.33,1.22,1.19,2.14,0.24,2.36,2.14,1.73,2.49,H
5,2,5,5,5,5,2,5,4,5,4.64,0.66,6.87,6.51,5.24,1.71,0.97,7.00,0.43,4.24,H
3,2,2,4,4,5,1,2,3,4,1.42,1.00,1.48,0.89,1.61,0.24,0.88,1.61,1.24,1.63,H
5,2,4,4,4,2,4,4,4,4,0.66,0.66,4.35,2.08,3.75,3.33,4.14,3.75,3.03,3.80,H
4,2,2,4,3,5,3,3,4,2,0.98,1.00,1.48,0.89,2.28,0.24,1.99,1.99,1.30,1.86,H
4,2,2,4,3,5,4,4,5,3,1.31,0.66,0.98,1.19,1.52,0.49,2.36,2.14,1.36,1.56,H
4,4,3,5,4,5,4,4,4,1,1.97,5.40,0.56,1.86,3.21,0.49,3.55,3.21,2.59,1.22,H
3,2,4,4,5,5,4,4,3,4,1.42,0.33,3.11,1.49,1.50,0.49,2.95,2.68,1.24,2.71,H
3,2,2,3,3,4,2,2,4,2,2.13,1.66,2.46,1.96,2.28,0.82,2.43,2.68,0.86,3.11,H
4,2,4,3,5,4,4,4,3,5,1.64,0.33,3.11,1.31,1.50,2.06,2.95,2.68,1.24,1.21,H
4,4,2,4,4,5,2,4,3,4,1.97,5.40,0.98,1.78,3.21,0.24,0.97,3.21,0.62,3.25,H
5,2,2,4,2,5,2,2,4,5,1.99,1.66,2.46,0.59,2.81,0.73,2.43,2.68,0.86,1.82,H
4,2,4,4,4,4,2,3,2,3,1.64,1.00,3.11,1.49,2.68,2.06,1.46,1.33,2.61,1.56,H
4,3,4,3,4,4,2,3,4,2,1.64,2.15,3.11,1.96,2.68,2.06,0.97,1.99,2.16,1.24,H
5,4,2,4,2,5,1,1,5,2,1.99,1.80,1.48,0.59,1.69,0.73,1.77,2.00,2.04,1.86,H
4,1,2,2,5,5,2,2,1,1,0.33,2.25,1.97,3.60,1.50,0.49,1.95,2.14,3.96,3.65,H
3,1,4,3,4,4,4,3,2,3,2.83,0.75,2.49,2.62,2.14,1.65,2.36,2.65,0.87,3.13,H
4,3,2,3,1,4,2,2,2,3,0.66,2.15,1.97,1.96,1.08,0.82,1.95,2.14,3.48,2.35,H
3,1,3,4,3,5,3,3,5,2,3.54,0.75,2.81,0.30,3.80,0.49,3.31,3.31,1.36,0.62,H
4,2,4,5,4,5,4,2,4,5,1.64,0.66,3.11,2.79,2.68,0.73,2.95,1.07,2.16,1.82,H
2,2,2,2,2,5,1,1,2,2,6.87,2.33,3.45,6.30,3.94,0.24,1.77,2.00,6.09,4.35,H
4,2,2,4,5,4,5,4,3,5,1.31,0.66,0.98,1.19,2.25,1.65,3.47,2.14,0.62,1.82,H
4,1,4,4,4,5,2,1,3,3,1.31,1.50,2.49,1.19,2.14,0.24,0.49,2.00,1.24,1.56,H
4,2,4,4,2,4,2,2,5,4,1.64,1.33,3.11,1.49,2.25,2.06,1.95,2.14,0.68,2.71,H
2,1,2,1,3,4,2,2,4,4,3.93,1.50,1.97,3.03,0.76,1.24,1.95,2.14,1.30,1.63,H
4,1,4,5,5,5,2,2,4,5,0.98,0.75,1.86,3.72,3.00,0.98,0.97,1.07,1.30,2.42,H
3,2,4,4,2,4,4,3,3,3,2.83,0.66,2.49,1.19,1.12,1.65,2.36,2.65,2.49,3.13,H
3,2,3,2,2,4,2,2,4,3,2.13,1.66,1.69,4.50,2.81,0.82,2.43,2.68,0.86,2.35,H
4,2,4,4,5,4,4,4,4,4,2.63,0.33,4.97,2.38,0.75,3.30,4.73,4.29,3.46,4.34,H
4,2,2,4,1,4,3,3,4,4,1.64,0.66,0.98,1.49,1.08,2.06,1.33,1.33,2.16,2.71,H
4,3,4,4,4,4,4,2,2,3,1.97,1.44,3.73,1.78,3.21,2.47,3.55,1.07,1.74,1.56,H
4,2,4,4,4,4,4,4,4,4,2.95,0.33,5.59,2.68,4.82,3.71,5.32,4.82,3.89,4.88,H
4,2,5,4,4,4,4,4,4,4,2.63,0.33,0.98,2.38,4.29,3.30,4.73,4.29,3.46,4.34,H
4,2,5,3,2,5,1,1,4,2,0.66,1.00,1.96,0.65,1.69,0.49,1.77,2.00,0.86,1.86,H
2,2,2,3,5,4,2,3,1,2,4.91,1.66,2.46,1.31,0.75,0.41,2.43,1.33,1.32,3.11,H
3,2,4,4,4,5,4,4,4,2,0.71,0.66,3.73,1.78,3.21,0.24,3.55,3.21,2.59,1.24,H
4,3,2,4,2,4,3,2,4,3,1.31,2.15,1.48,1.19,1.69,1.65,1.99,1.61,1.73,2.35,H
4,2,1,3,2,4,5,4,2,1,0.98,1.00,2.43,0.65,1.69,1.24,1.16,1.61,2.61,2.43,H
4,3,4,5,1,5,4,3,2,4,1.31,1.44,2.49,1.86,1.08,0.49,2.36,1.33,0.87,2.17,H
4,2,5,4,4,4,4,4,4,4,2.63,0.33,0.98,2.38,4.29,3.30,4.73,4.29,3.46,4.34,H
4,3,3,4,4,4,2,2,3,4,1.64,2.15,1.69,1.49,2.68,2.06,0.97,1.07,1.86,2.71,H
4,3,3,4,2,4,3,2,2,3,0.98,2.87,2.25,0.89,1.69,1.24,2.65,1.61,2.61,3.13,H
4,3,2,2,2,5,4,2,4,4,1.31,0.72,1.97,3.60,2.25,0.24,2.36,2.14,1.73,2.17,H
5,1,4,4,5,5,5,5,5,5,4.64,0.75,1.24,0.59,5.24,1.71,8.10,7.00,4.76,4.24,H
4,2,3,3,3,5,4,4,3,1,0.98,0.33,2.25,2.62,3.04,0.24,1.77,1.61,2.49,1.22,H
4,2,3,4,4,5,4,4,4,4,2.30,0.33,0.56,2.08,3.75,0.24,4.14,3.75,3.03,3.80,H
2,2,5,4,2,5,1,1,5,4,2.94,1.00,2.94,0.59,1.69,0.73,1.77,2.00,2.04,1.08,H
5,2,2,3,5,4,3,3,2,2,1.33,1.33,1.97,1.96,1.50,0.41,1.99,1.99,3.48,2.49,H
5,2,2,3,5,4,3,3,2,2,1.33,1.33,1.97,1.96,1.50,0.41,1.99,1.99,3.48,2.49,H
3,2,3,2,2,4,4,4,3,4,2.13,1.00,1.69,2.70,1.69,1.65,2.36,2.14,1.86,2.17,H
4,4,3,4,4,5,3,3,5,2,1.31,3.60,1.69,1.19,2.14,0.49,1.99,1.99,1.36,0.62,H
4,2,4,3,4,5,3,3,4,4,1.64,0.33,3.11,1.96,2.68,0.24,1.99,1.99,2.16,2.71,H
4,1,2,2,1,5,1,1,3,2,0.33,3.00,1.48,2.70,4.33,0.24,3.54,4.00,0.62,1.86,H
5,2,3,3,3,5,2,2,3,2,1.33,1.33,2.25,2.62,3.04,0.49,1.95,2.14,2.49,2.49,H
2,1,4,3,3,5,3,2,2,3,2.94,0.75,0.62,2.62,3.04,0.24,2.65,1.61,2.61,3.13,H
2,2,3,4,2,4,3,2,4,3,3.93,1.33,1.69,0.89,2.25,1.24,1.99,2.14,1.30,2.35,H
4,2,2,4,4,5,4,4,4,2,1.97,1.00,1.48,1.78,3.21,0.24,3.55,3.21,2.59,1.86,H
5,2,4,3,4,5,4,3,5,5,2.65,0.33,1.86,1.31,1.61,0.98,1.77,1.33,2.72,2.42,H
2,2,4,2,2,4,3,3,4,4,3.93,1.33,2.49,3.60,2.25,1.65,1.33,1.33,1.73,2.17,H
4,3,3,5,5,4,2,2,5,4,0.98,1.44,1.12,2.79,2.25,1.24,0.97,1.07,2.04,1.63,H
