EX1G,EX2G,A1G,A2G,C1G,C2G,ES1G,ES2G,O1G,O2G,EX1,EX2,A1,A2,C1,C2,ES1,ES2,O1,O2,H/D
5,4,2,4,4,5,4,4,5,5,2.51,4.41,0.46,1.55,2.87,1.03,3.23,2.62,2.69,2.97,H
5,2,2,4,5,5,2,4,4,2,1.89,1.33,1.85,0.93,2.33,0.77,1.95,1.57,1.34,2.58,H
4,3,3,3,1,5,1,3,2,2,0.30,2.48,1.95,2.69,2.23,0.26,1.93,2.07,1.51,1.29,H
3,2,2,2,3,4,2,2,3,4,2.36,1.66,2.32,3.66,2.02,0.78,2.44,3.14,1.96,0.88,H
5,2,2,4,4,5,2,3,4,5,1.89,0.99,1.39,0.93,1.72,0.77,1.46,0.52,1.34,2.23,H
4,1,2,4,4,4,3,3,3,5,1.20,0.85,0.46,1.24,2.29,1.56,2.02,1.55,1.96,0.74,H
3,3,2,2,2,5,4,3,4,2,2.36,1.86,1.85,2.93,2.24,0.26,1.29,1.55,0.89,2.58,H
4,2,2,4,2,4,2,2,2,2,0.90,2.32,3.25,0.93,3.91,1.17,3.41,4.40,5.27,4.52,H
3,1,2,4,5,5,3,4,3,4,2.36,0.85,0.46,0.93,1.55,0.52,2.02,1.57,1.96,1.32,H
4,3,2,3,2,5,4,4,4,3,1.20,1.86,0.93,2.02,1.12,0.26,2.58,2.10,1.79,2.56,H
3,1,3,4,3,5,3,3,4,2,3.94,0.85,2.44,0.62,3.36,0.26,3.36,2.59,0.89,0.65,H
4,2,4,5,5,5,4,4,4,4,1.79,0.33,3.87,3.20,2.33,0.77,3.87,3.15,2.68,2.65,H
2,2,2,2,2,5,1,1,2,2,7.16,2.32,3.25,5.12,3.91,0.26,1.93,2.04,5.27,4.52,H
4,3,2,3,2,5,4,4,4,3,1.20,1.86,0.93,2.02,1.12,0.26,2.58,2.10,1.79,2.56,H
4,2,4,4,4,5,5,3,5,1,1.20,0.33,2.58,1.24,2.29,0.77,2.69,0.52,2.02,1.04,H
5,3,2,3,4,4,4,4,5,4,1.26,1.24,0.46,1.34,2.87,1.95,3.23,2.62,1.34,2.21,H
5,4,1,2,5,4,1,1,5,2,1.89,1.76,4.50,1.46,2.33,0.78,2.89,3.07,2.02,1.29,H
4,2,4,4,4,5,3,3,5,5,1.20,0.33,2.58,1.24,2.29,0.77,1.34,1.04,2.02,2.23,H
4,2,4,4,2,4,2,2,5,4,1.50,1.33,3.23,1.55,2.24,1.95,1.95,2.51,0.67,2.21,H
2,1,2,1,3,4,2,2,4,4,4.09,1.71,1.85,3.13,0.67,1.17,1.95,2.51,1.34,1.32,H
4,4,4,4,3,5,2,2,3,3,1.20,3.53,2.58,1.24,2.02,0.26,0.97,1.26,1.96,2.56,H
3,3,3,3,2,4,2,4,3,3,4.73,3.72,2.92,4.03,1.12,0.78,0.97,1.05,3.93,5.12,H
4,3,5,4,4,4,2,2,3,2,1.20,1.24,1.14,1.24,2.29,1.56,1.46,1.89,1.31,1.94,H
3,2,3,2,3,5,4,3,3,4,3.94,0.66,2.44,1.46,3.36,0.26,1.29,2.59,3.27,0.88,H
4,1,4,4,1,5,3,3,4,3,1.20,1.71,2.58,1.24,2.23,0.26,2.02,1.55,1.79,2.56,H
4,1,5,3,2,5,5,4,5,3,0.60,0.85,4.56,1.34,0.56,1.03,3.59,1.05,2.69,1.71,H
2,2,4,4,4,4,3,3,3,3,2.04,0.66,2.58,1.24,2.29,1.56,2.69,2.07,2.62,3.41,H
3,2,4,4,4,5,5,4,4,2,0.79,0.66,3.23,1.55,2.87,0.52,1.79,2.62,2.23,1.29,H
2,2,5,2,2,4,1,2,3,4,5.11,1.66,1.14,3.66,2.80,0.78,0.96,3.14,0.65,0.88,H
5,2,4,3,5,4,3,3,2,3,1.26,0.66,1.29,2.69,1.55,0.78,2.69,2.07,1.51,3.41,H
4,4,3,3,3,5,2,3,5,5,0.60,1.76,1.95,2.69,2.69,0.77,0.49,2.07,2.02,2.23,H
3,2,4,4,4,5,5,4,4,2,0.79,0.66,3.23,1.55,2.87,0.52,1.79,2.62,2.23,1.29,H
4,2,3,4,4,4,4,4,4,4,2.39,0.33,0.49,2.49,4.59,3.12,5.16,4.20,3.57,3.53,H
2,2,3,2,3,4,2,2,3,2,6.13,1.99,1.46,4.39,2.02,0.39,2.92,3.77,1.96,3.87,H
4,1,1,2,5,5,5,5,5,5,0.30,1.71,3.00,0.73,4.66,1.55,5.38,7.01,4.03,4.45,H
4,3,3,4,4,4,4,4,5,4,2.09,1.24,0.97,2.18,4.01,2.73,4.52,3.67,0.67,3.09,H
4,2,2,4,2,3,5,4,4,1,1.20,0.99,1.39,1.24,1.68,1.65,0.90,2.10,1.79,1.04,H
4,3,2,5,3,4,1,2,2,2,0.60,1.24,1.85,1.07,1.34,0.78,0.96,2.51,3.01,2.58,H
4,2,4,3,1,5,2,3,2,1,0.60,0.99,1.29,1.34,2.23,0.26,1.46,1.04,2.26,2.09,H
5,2,2,5,5,5,2,3,3,2,2.51,1.33,1.85,4.26,3.10,1.03,1.95,1.04,1.31,2.58,H
5,3,5,3,1,4,3,3,3,1,1.26,3.10,2.28,3.36,2.23,0.39,3.36,2.59,3.27,2.09,H
3,3,3,3,2,3,1,3,3,3,6.30,4.96,3.90,5.38,0.56,13.16,0.96,4.15,5.23,6.82,H
4,2,4,3,4,4,3,3,4,4,1.79,0.33,3.87,2.02,3.44,2.34,2.02,1.55,2.68,2.65,H
5,3,3,2,3,4,3,3,4,4,0.63,3.10,2.44,0.73,3.36,1.17,3.36,2.59,1.34,1.32,H
5,3,3,4,1,4,4,3,3,2,0.63,2.48,1.95,0.93,1.11,1.17,1.94,2.07,2.62,0.65,H
4,2,3,4,4,4,2,2,2,4,1.50,1.33,0.49,1.55,2.87,1.95,1.95,2.51,3.01,2.21,H
4,2,4,4,2,5,4,4,4,2,1.79,0.99,3.87,1.87,1.68,0.26,3.87,3.15,2.68,1.94,H
3,3,4,2,1,4,2,1,4,2,1.58,1.24,1.94,2.19,2.23,1.17,1.46,2.04,1.34,1.94,H
3,2,4,3,2,4,2,2,4,4,1.58,1.33,2.58,1.34,2.24,1.56,1.95,2.51,1.79,1.77,H
4,2,4,4,2,5,2,2,2,2,0.90,1.99,1.94,0.93,3.35,0.26,2.92,3.77,4.52,3.87,H
4,2,4,2,4,5,1,2,2,3,0.90,1.33,1.94,2.93,1.72,0.26,0.96,2.51,3.01,0.85,H
4,3,2,3,4,5,2,3,4,2,0.90,1.86,1.39,2.02,1.72,0.26,1.46,1.55,1.34,1.94,H
4,3,2,4,2,3,2,2,5,2,0.60,1.24,2.32,0.62,2.80,3.29,2.44,3.14,0.67,3.23,H
4,3,2,4,4,5,4,4,3,4,1.79,1.24,0.46,1.87,3.44,0.26,3.87,3.15,1.31,2.65,H
4,2,2,4,5,4,3,2,5,4,1.20,0.99,1.39,1.24,1.55,1.56,0.67,1.89,1.34,1.77,H
4,2,4,4,4,4,2,4,5,4,2.09,0.66,4.52,2.18,4.01,2.73,0.97,3.67,0.67,3.09,H
5,4,2,2,2,4,1,3,5,2,1.26,1.76,1.85,2.93,2.24,0.78,0.96,0.52,1.34,2.58,H
4,3,1,2,2,4,2,2,3,1,0.60,1.24,3.00,2.93,2.24,0.78,1.95,2.51,1.31,2.09,H
4,3,4,4,5,5,4,4,4,4,2.09,0.62,4.52,2.18,1.55,0.52,4.52,3.67,3.13,3.09,H
3,2,3,1,2,4,2,2,3,4,2.36,1.33,1.46,1.57,2.24,0.78,1.95,2.51,1.96,0.88,H
5,4,5,4,5,5,2,4,3,5,3.14,2.65,5.70,0.93,3.88,1.29,0.49,1.57,0.65,3.71,H
5,4,2,4,2,5,4,2,4,4,1.26,4.41,1.39,1.55,1.68,0.52,3.23,1.89,2.23,2.21,H
3,2,2,3,5,5,1,3,2,2,2.36,1.33,1.85,2.02,1.55,0.52,0.96,1.55,3.01,2.58,H
2,3,3,2,2,5,3,2,5,5,4.09,1.86,1.46,2.93,2.24,0.77,2.02,2.51,2.02,2.23,H
4,3,3,4,2,5,2,3,1,4,0.90,1.86,1.46,0.93,1.12,0.26,0.97,1.55,1.50,1.32,H
4,1,3,4,3,5,4,3,2,2,0.90,0.85,1.46,0.93,2.02,0.26,1.94,1.55,1.51,1.29,H
5,2,2,4,5,5,5,4,3,2,2.51,0.99,1.39,0.62,3.10,1.03,3.59,1.05,0.65,1.94,H
4,3,3,4,2,4,4,4,4,4,2.09,1.24,0.97,2.18,0.56,2.73,4.52,3.67,3.13,3.09,H
3,3,5,5,5,5,2,1,1,5,1.58,1.24,5.70,5.33,3.88,1.29,0.49,2.04,3.00,3.71,H
3,2,1,2,1,5,1,1,5,1,0.79,0.66,7.50,1.46,5.57,0.52,4.82,5.11,1.34,5.22,H
4,2,2,4,2,5,4,5,4,3,1.20,0.99,1.39,1.24,1.68,0.52,2.58,2.34,1.79,0.85,H
5,2,4,4,3,5,4,4,5,4,1.89,0.33,3.23,1.55,0.67,0.77,3.23,2.62,2.02,2.21,H
5,2,2,5,4,5,2,3,5,4,2.51,0.99,1.39,4.26,1.15,1.03,1.46,0.52,2.69,0.88,H
5,3,5,3,5,5,5,1,1,4,3.14,1.24,5.70,1.34,3.88,1.29,4.49,2.04,3.00,0.44,H
5,2,5,4,4,5,5,4,5,2,3.14,0.66,5.70,0.93,1.72,1.29,4.49,1.57,3.36,1.29,H
3,2,4,1,3,5,3,1,4,4,2.36,0.33,1.94,3.13,2.02,0.26,2.02,2.04,1.34,1.32,H
5,4,2,4,2,4,3,2,4,2,0.63,3.53,1.85,1.24,2.24,1.56,0.67,2.51,1.79,2.58,H
3,2,2,2,2,1,2,3,4,4,1.58,1.66,2.32,3.66,2.80,2.04,2.44,1.04,0.89,0.88,H
3,3,2,3,3,4,2,3,4,4,3.94,3.10,0.93,3.36,3.36,1.17,0.97,2.59,1.34,1.32,H
4,2,2,3,2,3,2,4,2,4,0.90,1.66,2.32,1.34,2.80,3.29,2.44,1.57,3.77,1.32,H
3,1,3,4,2,4,5,4,4,2,1.58,0.85,0.97,1.24,1.12,1.56,0.90,2.10,1.79,1.29,H
4,2,4,1,3,4,3,2,3,1,0.90,0.66,1.94,3.13,2.02,1.17,2.02,1.26,1.96,2.09,H
5,3,3,1,2,5,5,3,2,3,1.89,2.48,1.95,1.57,1.12,0.77,2.69,2.07,1.51,3.41,H
4,2,2,4,4,5,4,4,4,4,2.09,0.66,0.93,2.18,4.01,0.26,4.52,3.67,3.13,3.09,H
5,2,4,4,4,5,5,4,3,4,1.89,0.33,3.23,1.55,2.87,0.77,2.69,2.62,0.65,2.21,H
5,4,3,3,3,4,3,3,4,3,0.63,2.65,2.92,4.03,4.03,1.17,4.03,3.11,1.34,5.12,H
4,4,2,2,2,4,2,2,5,4,1.20,3.53,2.32,3.66,2.80,1.56,2.44,3.14,0.67,1.77,H
2,3,2,2,3,4,2,1,4,4,4.09,1.24,1.85,2.93,1.34,1.17,1.95,1.02,1.34,1.32,H
3,2,4,3,1,5,1,3,3,3,3.94,0.33,0.65,3.36,2.23,0.26,1.93,2.59,3.27,4.27,H
4,4,4,2,2,5,2,4,4,4,1.79,5.29,3.87,2.19,1.68,0.26,1.46,3.15,2.68,2.65,H
4,4,2,4,1,4,3,4,3,4,1.79,5.29,0.46,1.87,1.11,2.34,1.34,3.15,1.31,2.65,H
4,2,3,4,3,4,2,3,4,4,1.50,0.66,1.46,1.55,2.02,1.95,0.97,1.55,2.23,2.21,H
1,5,5,5,5,5,5,5,1,3,4.69,11.52,7.98,7.46,5.43,1.81,6.28,8.18,3.00,0.85,H
5,3,3,4,4,5,3,3,3,5,1.89,3.10,2.44,0.62,1.15,0.77,3.36,2.59,3.27,2.23,H
5,5,3,3,3,4,2,2,4,4,1.26,3.29,1.46,2.02,2.02,1.17,0.97,1.26,1.34,1.32,H
2,2,2,2,2,5,2,4,3,1,6.13,1.99,2.78,4.39,3.35,0.26,2.92,0.52,0.65,1.04,H
4,1,4,2,3,4,3,3,4,3,1.20,0.85,2.58,0.73,2.69,1.56,2.69,2.07,1.79,3.41,H
4,3,2,3,3,5,1,3,4,4,0.90,2.48,0.46,2.69,2.69,0.26,0.96,2.07,1.34,1.32,H
4,4,3,4,1,5,2,1,2,2,0.90,2.65,0.49,0.93,2.23,0.26,1.46,2.04,2.26,1.94,H
5,3,3,2,1,5,2,2,5,4,1.89,1.24,0.97,2.19,1.11,0.77,1.46,1.89,2.02,0.44,H
4,3,4,4,5,5,5,5,4,5,1.20,0.62,2.58,1.24,3.88,1.29,4.49,5.84,1.79,3.71,H
5,1,5,4,4,5,2,3,4,5,2.51,0.85,4.56,0.93,1.72,1.03,0.49,0.52,1.34,2.97,H
5,3,3,3,1,4,1,2,4,2,0.63,1.86,1.46,2.02,2.23,0.78,1.93,1.26,0.89,1.29,H
5,2,3,4,3,5,4,4,4,5,1.89,0.33,0.97,1.24,1.34,0.77,2.58,2.10,1.79,2.23,H
4,4,2,3,2,4,1,1,4,2,1.20,3.53,1.39,0.67,1.68,1.56,1.93,2.04,1.79,1.94,H
4,4,2,3,2,4,2,3,3,2,0.90,2.65,1.85,2.02,2.24,1.17,1.95,1.55,1.96,2.58,H
4,2,3,4,4,4,2,2,4,4,1.79,0.99,0.49,1.87,3.44,2.34,1.46,1.89,2.68,2.65,H
4,3,5,4,2,5,4,3,5,4,1.20,1.24,3.42,1.24,0.56,0.77,2.58,1.04,2.02,1.77,H
4,1,4,2,4,4,4,2,4,5,1.79,0.85,3.87,1.46,3.44,2.34,3.87,1.26,2.68,0.74,H
4,4,2,4,2,4,4,4,2,2,1.79,5.29,1.85,1.87,2.24,2.34,3.87,3.15,3.01,2.58,H
4,2,3,4,3,5,2,3,3,2,0.60,0.99,1.95,0.62,2.69,0.26,1.46,2.07,2.62,1.94,H
4,1,3,2,3,5,3,3,5,3,0.30,0.85,2.44,0.73,3.36,0.52,3.36,2.59,1.34,4.27,H
3,2,4,4,1,4,2,1,5,5,0.79,0.66,1.94,0.93,2.23,1.17,0.97,2.04,1.34,1.48,H
4,2,3,4,4,5,3,3,4,4,1.50,0.33,1.46,1.55,2.87,0.26,2.02,1.55,2.23,2.21,H
4,3,3,3,2,4,4,4,4,2,1.50,1.86,1.46,2.02,1.12,1.95,3.23,2.62,2.23,1.29,H
2,1,5,2,3,4,2,1,5,4,3.07,1.71,2.28,2.19,0.67,0.78,1.46,2.04,1.34,0.88,H
5,2,3,5,3,5,1,1,5,1,2.51,0.33,0.97,4.26,1.34,1.03,2.89,3.07,2.69,3.13,H
4,2,4,5,1,5,4,2,1,2,0.90,0.99,1.94,2.13,2.23,0.52,1.94,1.89,3.00,1.94,H
4,2,2,3,4,4,4,3,2,2,1.20,1.33,1.85,1.34,2.29,1.56,2.58,1.04,3.01,2.58,H
3,3,4,3,5,5,4,4,2,5,2.36,1.86,1.94,2.02,2.33,0.77,1.94,1.57,0.75,2.23,H
4,3,4,4,3,5,1,3,4,4,1.50,1.86,3.23,1.55,2.02,0.26,0.96,1.55,2.23,2.21,H
5,3,2,4,5,4,4,5,5,2,2.51,0.62,0.93,0.93,3.10,1.17,1.94,4.67,2.69,1.29,H
5,2,3,2,2,4,3,4,5,4,1.26,0.99,0.97,2.19,1.68,1.17,1.34,1.57,1.34,1.32,H
5,4,3,5,5,5,4,4,5,5,3.77,2.65,0.49,6.39,4.66,1.55,1.94,1.57,4.03,4.45,H
4,4,2,4,5,4,3,3,4,4,1.79,5.29,0.46,1.87,0.78,2.34,1.34,1.04,2.68,2.65,H
5,4,3,4,2,4,3,5,3,1,1.26,2.65,1.46,0.93,0.56,1.17,2.02,2.34,1.96,1.04,H
4,2,3,3,3,5,5,4,3,2,0.60,0.66,1.95,2.69,2.69,0.52,1.79,1.05,2.62,1.29,H
4,2,3,3,3,4,2,2,4,3,0.90,0.99,1.95,2.69,2.69,1.17,1.46,1.89,1.34,3.41,H
4,2,2,4,4,5,2,2,4,2,1.20,1.66,2.32,1.24,2.29,0.26,2.44,3.14,1.79,3.23,H
2,2,3,3,3,4,3,3,2,4,3.07,0.99,2.44,3.36,3.36,0.78,3.36,2.59,2.26,0.88,H
4,2,3,4,4,4,4,4,4,3,2.09,0.33,0.97,2.18,4.01,2.73,4.52,3.67,3.13,1.71,H
4,3,2,4,2,4,1,1,4,4,1.50,0.62,0.93,1.55,1.12,1.95,1.93,2.04,2.23,2.21,H
5,5,2,3,3,4,5,1,4,1,1.89,4.94,0.46,1.34,1.34,0.78,2.69,2.04,0.89,2.09,H
4,3,3,4,4,4,3,3,5,4,1.50,2.48,1.95,1.55,2.87,1.95,2.69,2.07,0.67,2.21,H
3,2,4,3,2,4,4,3,4,4,2.36,0.66,3.23,2.02,1.12,1.95,3.23,1.55,2.23,2.21,H
5,4,3,3,4,5,4,5,5,5,3.14,2.65,0.97,1.34,1.72,1.29,1.94,5.84,3.36,3.71,H
5,1,3,4,5,5,2,1,4,4,1.89,1.71,0.49,0.93,2.33,0.77,0.49,2.04,1.34,1.32,H
4,2,2,4,2,3,2,4,4,3,1.20,1.33,1.85,1.24,2.24,3.29,1.95,2.10,1.79,1.71,H
4,3,3,3,4,4,4,3,4,3,1.50,3.10,2.44,3.36,2.87,1.95,3.23,2.59,2.23,4.27,H
4,3,2,4,4,5,5,5,4,3,1.20,1.24,0.46,1.24,2.29,0.77,2.69,3.50,1.79,1.71,H
5,2,2,1,2,5,4,4,3,1,1.26,0.99,1.39,3.13,1.68,0.52,1.29,1.05,0.65,2.09,H
4,4,3,3,2,4,3,4,4,4,1.79,5.29,1.46,2.02,0.56,2.34,2.02,3.15,2.68,2.65,H
4,1,3,2,4,5,4,4,3,3,1.20,0.85,1.46,0.73,2.29,0.26,2.58,2.10,1.96,2.56,H
2,1,2,4,3,5,1,1,5,5,2.04,2.56,0.93,0.31,0.67,0.77,2.89,3.07,2.02,2.23,H
5,2,5,5,2,5,2,4,5,5,3.77,0.99,6.84,6.39,1.68,1.55,1.46,0.52,4.03,4.45,H
2,4,4,4,2,4,2,2,2,2,6.13,3.53,2.58,1.24,3.35,1.56,2.92,3.77,4.52,3.87,H
4,2,2,4,2,5,5,4,2,2,0.90,1.66,2.32,0.93,2.80,0.52,1.79,1.57,3.77,3.23,H
4,4,2,4,4,4,3,3,4,4,2.09,6.17,0.46,2.18,4.01,2.73,1.34,1.04,3.13,3.09,H
2,1,2,2,2,2,2,2,2,2,9.20,0.85,4.17,6.58,5.03,18.39,4.38,5.66,6.78,5.81,H
5,1,4,5,5,5,5,5,5,5,5.03,0.85,0.65,8.53,6.21,2.06,7.18,9.35,5.38,5.94,H
3,2,4,4,3,4,3,3,3,3,4.73,0.33,1.94,0.93,4.03,1.17,4.03,3.11,3.93,5.12,H
2,2,3,2,2,4,4,2,2,4,6.13,1.99,0.49,4.39,3.35,1.17,1.94,3.77,4.52,1.32,H
4,2,2,4,4,4,3,4,5,4,1.79,0.66,0.93,1.87,3.44,2.34,0.67,3.15,0.67,2.65,H
3,3,2,2,3,2,2,2,5,3,3.15,2.48,2.32,3.66,2.69,10.22,2.44,3.14,0.67,3.41,H
4,2,2,2,5,5,2,4,5,5,0.60,1.33,1.85,2.93,3.10,1.03,1.95,1.05,2.69,2.97,H
4,2,2,4,5,5,2,3,5,5,0.60,0.99,1.39,0.62,3.10,1.03,1.46,0.52,2.69,2.97,H
5,4,2,4,5,5,4,4,5,5,3.14,3.53,0.46,1.24,3.88,1.29,2.58,2.10,3.36,3.71,H
4,4,3,4,4,4,1,1,1,5,1.50,4.41,0.49,1.55,2.87,1.95,2.89,3.07,4.50,0.74,H
4,3,3,4,3,4,3,3,3,3,0.90,4.34,3.41,0.93,4.71,1.17,4.71,3.63,4.58,5.97,H
4,2,4,4,4,4,2,2,4,4,2.09,0.99,4.52,2.18,4.01,2.73,1.46,1.89,3.13,3.09,H
4,2,3,4,3,4,3,3,4,5,1.20,0.33,1.95,1.24,2.69,1.56,2.69,2.07,1.79,0.74,H
2,1,3,4,2,5,2,2,2,5,5.11,0.85,0.49,0.31,2.80,0.52,2.44,3.14,3.77,1.48,H
4,2,2,2,5,5,2,2,5,4,0.60,1.66,2.32,3.66,2.33,0.77,2.44,3.14,2.02,0.88,H
3,2,4,2,5,5,1,1,5,5,0.79,0.66,0.65,1.46,3.10,1.03,1.93,2.04,2.69,2.97,H
3,2,2,2,1,5,2,2,3,3,2.36,1.66,2.32,3.66,1.11,0.26,2.44,3.14,1.96,2.56,H
4,2,3,4,3,4,2,2,3,4,1.20,0.99,1.46,1.24,2.02,1.56,1.46,1.89,1.96,1.77,H
4,2,2,3,5,5,3,3,4,4,0.90,0.66,0.93,2.02,1.55,0.52,2.02,1.55,1.34,1.32,H
3,3,3,4,3,1,4,3,3,4,4.73,3.72,2.92,0.93,4.03,2.04,1.94,3.11,3.93,1.32,H
4,2,4,4,5,5,4,4,4,5,1.79,0.33,3.87,1.87,2.33,0.77,3.87,3.15,2.68,2.23,H
4,3,2,4,4,5,5,4,3,4,1.50,1.24,0.46,1.55,2.87,0.52,1.79,2.62,1.31,2.21,H
5,1,4,5,5,5,5,5,3,4,3.77,0.85,1.29,6.39,4.66,1.55,5.38,7.01,0.65,0.88,H
5,4,4,4,5,5,5,5,4,4,3.14,4.41,3.23,1.55,3.88,1.29,4.49,5.84,2.23,2.21,D
5,2,4,4,5,5,5,5,5,4,3.77,0.33,1.94,0.93,4.66,1.55,5.38,7.01,4.03,1.32,D
